Latitude,Longitude,Time_Stamp
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
-7.5518,-155.4308,1721989852
